module,mutant_id,killed_count,killed_by,classification,explanation
template,1063,0,,S5_tratamento_silencioso,Mutação relacionada a erros/exceções de template que podem ser tratados internamente.
template,1064,0,,S5_tratamento_silencioso,Mutação relacionada a erros/exceções de template que podem ser tratados internamente.
template,1065,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1066,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1067,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1068,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1069,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1070,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1071,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1072,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1073,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1074,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1075,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1076,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1077,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1078,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1079,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1080,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1081,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1082,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1083,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1084,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1085,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1086,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1087,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1088,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1089,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1090,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1091,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1092,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1093,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1094,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1095,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1096,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1097,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1098,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1099,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1100,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1101,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1102,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1103,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1104,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1105,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1106,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1107,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
template,1108,0,,S6_fluxo_generico_template,"Mutação em parte genérica do mecanismo de template, enquanto o experimento usa um template simples."
